time_s,rms,onset_strength,spectral_centroid,spectral_bandwidth,spectral_contrast,pitch_midi,pitch_confidence,beat_phase,rhythm_density,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
3.157333,0.06506827,0.77319501,872.43117007,1716.06242081,17.94862539,40.54115481,0.18188263,0.62249706,0.08333333,-316.16919618,183.75677593,11.18433542,10.19629530,38.82214030,14.68587440,1.50357578,5.03997069,6.09510386,6.64294501,4.47680025,0.09523688,-0.55027255,-0.76425595,-0.20392952,0.60472654,0.11640818,-0.47674766,-0.15902399,0.68688920,0.73324144,0.73247158,0.99878441,0.30156804,-0.69879690,-1.18995898,0.04220348,0.02593599,0.03810896,0.03377808,1.00000000,0.07126989,0.06069380,0.05561004,0.05748112,0.13449101,0.06291527,0.39586617
3.168000,0.06736303,0.66309485,925.18541207,1775.52525275,19.30159060,39.84468314,0.17356869,0.64134276,0.08333333,-318.32808851,182.66313595,13.55714467,12.34869947,38.57796714,13.37969448,-3.02805092,-0.62171387,6.54299351,10.43198419,5.70716853,0.30463023,-2.61922490,-0.28489379,-0.02251649,0.45971678,0.04498582,-0.70238943,-0.33290058,0.48880257,0.37684387,0.24901622,0.56464166,0.20969568,-0.42368866,-0.61857568,0.04078490,0.03281684,0.03743979,0.03138215,1.00000000,0.07051980,0.05111991,0.05449704,0.05791248,0.11062503,0.06105646,0.38703309
3.178667,0.06522316,0.86453088,876.88410645,1770.59020266,18.57266586,40.10732697,0.17861896,0.66018846,0.16666667,-321.11552021,183.35634893,18.71077835,14.58909070,37.21203941,12.88177378,-1.16074705,0.16796327,8.15271072,15.58701389,7.32694686,-1.29049693,0.58205720,0.30317359,0.15550553,-0.05013959,-0.32466612,-0.89071932,-0.61251361,0.04079217,-0.09802101,-0.18387299,0.33328445,0.30016780,-0.09524044,-0.08201057,0.03924762,0.03463429,0.03734548,0.02927987,1.00000000,0.06843549,0.05089701,0.05571984,0.05423813,0.09570493,0.05616514,0.35834133
3.189333,0.06655915,0.56154514,879.53472995,1756.41698427,19.68423889,40.03081842,0.18058320,0.67903416,0.16666667,-321.17798946,182.19604746,16.37576666,14.76571902,39.98927120,14.95503064,1.31292751,1.14928809,5.13418502,13.98488710,8.16648831,-3.24865789,-2.18900655,0.62652492,0.18600330,-0.30854959,-0.28421217,-0.94176949,-1.10187519,-0.37362887,0.08443097,0.16107266,0.36492765,0.34088830,0.15983465,0.25988980,0.03733008,0.03132357,0.03678364,0.03101611,1.00000000,0.06904432,0.04958928,0.05685352,0.04871266,0.09258330,0.05085515,0.33852380
3.200000,0.06728800,0.52125774,918.79673671,1792.31783078,20.42067218,39.86922543,0.17698462,0.69787986,0.16666667,-319.27857357,182.84599011,14.66878078,12.35007382,37.59974471,14.14573522,1.28568176,0.77785351,3.49857498,10.35342257,7.94605554,1.76325891,0.79948009,0.67892583,-0.11926133,-1.06375883,-0.72899186,-0.80326566,-1.05154711,-0.66327841,0.01796121,0.22203665,0.16111088,0.17742384,0.19194292,0.46201950,0.03833099,0.02831641,0.03474938,0.03171891,1.00000000,0.06950177,0.05655523,0.05586159,0.04893260,0.09461713,0.04956526,0.32332251
3.210667,0.06586935,0.62844484,932.58182675,1756.19135076,18.92000794,40.31081897,0.18228586,0.71672556,0.08333333,-314.86376826,185.55482358,11.93756712,6.07028019,30.33757081,10.15010937,2.01153314,4.87973984,6.80974615,8.82470144,3.86075979,1.23951987,3.56376654,0.94296308,-0.12315697,-1.66323760,-0.93052624,-0.06669915,-0.43810493,-0.57907448,0.12671914,0.14768758,-0.33512291,-0.17801713,0.17183085,0.58484142,0.03892594,0.03358845,0.03473642,0.03479274,1.00000000,0.06980588,0.06431487,0.05239677,0.05090450,0.09446336,0.05068178,0.32273100
3.221333,0.06679352,0.76170872,979.76231340,1785.72808115,18.41962560,39.77734740,0.17611193,0.73557126,0.08333333,-314.52733436,185.23584626,10.86217034,6.57053459,30.83965377,6.37030772,-2.22897488,4.82207048,8.20927304,11.12538949,6.09762500,0.13881921,2.15064976,0.78736699,-0.52413661,-1.93326218,-0.82831112,0.26163022,0.11119685,-0.55245284,-0.28536056,0.08855020,-0.55457754,-0.55380116,-0.00225099,0.19019915,0.03959081,0.03184121,0.03292488,0.03680350,1.00000000,0.06951707,0.06499320,0.04839868,0.05471935,0.09159862,0.04896593,0.32688561
3.232000,0.06431060,1.07729092,962.77255127,1803.93209190,20.33804663,40.38782817,0.17886992,0.75441696,0.08333333,-314.20406285,182.84129311,10.34992975,11.38618034,33.03324357,4.51816382,-4.89780339,4.35331106,9.60071334,12.06599142,8.30520927,1.52060866,1.77045953,0.00963900,-1.09509482,-1.46736960,-0.15151682,0.61982847,0.67329288,-0.34175414,-0.76323844,-0.08202017,-0.52048366,-0.83599687,-0.13768909,0.50351241,0.03891266,0.02953252,0.03190681,0.03818764,1.00000000,0.06878885,0.06350536,0.04415962,0.05685547,0.08627157,0.04754959,0.31401701
3.242667,0.06613228,0.62378138,1066.07973522,1851.05849942,18.22581942,39.71569594,0.17064908,0.77326266,0.08333333,-313.95097626,180.05479539,2.66721812,6.16644456,36.53081606,10.01577912,-6.68382352,-1.68154644,6.68519234,11.35496142,6.88072042,0.22569430,0.86526712,-0.78475277,-1.50513691,-0.98711042,0.47698900,1.14606576,1.14146714,0.00814775,-0.97269631,-0.39657353,-0.26355933,-0.75170928,-0.50303835,0.39388055,0.04150219,0.03025527,0.03250192,0.03549915,1.00000000,0.07016393,0.07054214,0.04498463,0.05533932,0.08061785,0.04604871,0.29711378
3.253333,0.06281537,0.78203853,992.74778156,1798.56881876,21.70333251,40.18868245,0.17590875,0.79210836,0.08333333,-314.23182345,182.37185974,4.60582185,7.84244454,43.25643389,16.11990677,-3.58783114,0.05313986,6.44800730,9.34563607,3.76432851,-0.23357384,3.62346346,-1.15813379,-1.59219236,-0.52443412,0.83423475,1.17025594,1.31932625,0.59213439,-0.67606142,-0.65776829,-0.43547950,-0.70878723,-0.65526861,0.06218466,0.04342619,0.02636207,0.03403176,0.04249580,1.00000000,0.07095372,0.06800429,0.04667050,0.05621421,0.07459883,0.04279285,0.27708259
3.264000,0.06368143,0.78477511,1010.23138750,1844.85235913,17.79110682,40.15293395,0.16984895,0.81095406,0.08333333,-317.34336491,177.43642053,4.93699488,9.11971934,38.54666689,17.14903385,-0.05988391,-1.92902675,6.20454656,9.43669720,1.74310444,-2.88706471,-0.50887488,-0.98513774,-1.19898945,-0.13460842,0.76903814,0.59683768,0.95872771,1.09525701,-0.03392242,-0.55790683,-0.59397216,-0.79114502,-0.49103690,0.00586668,0.04033810,0.02940570,0.03628729,0.04485844,1.00000000,0.07198481,0.06402581,0.04239465,0.05644753,0.07676185,0.04174588,0.27327312
3.274667,0.06285635,0.77210652,984.20722835,1860.01993556,19.43223698,40.00328933,0.17090084,0.82979976,0.08333333,-322.94487281,172.71354692,7.37867272,14.13067289,40.69428454,18.90568325,1.10918393,-4.22992408,2.43629335,6.54731599,0.13119036,-1.11142343,6.63644307,-1.00835504,-1.10562149,-0.04105288,0.54053066,0.06409335,0.48592201,1.24096507,0.46475626,-0.55727435,-0.78713165,-0.57619986,-0.19058489,0.02839012,0.03948346,0.03143018,0.03627642,0.04597992,1.00000000,0.07161210,0.06946895,0.04306813,0.05766545,0.07477702,0.04002528,0.27438547
3.285333,0.06337755,0.62358664,998.55674173,1881.57574930,19.79394689,39.92733718,0.17086503,0.84864547,0.08333333,-323.57408126,173.91696523,7.67990999,13.07095590,40.61389169,16.41126314,0.67262131,-2.52975186,2.62060139,9.63250661,2.78007392,-2.06762122,5.26969220,-0.88684197,-0.89056564,0.32503138,0.96973659,0.07327275,-0.23296310,0.77056066,0.95792028,-0.37655465,-0.96800713,-0.04292260,0.10176940,-0.35323259,0.03926710,0.03389383,0.03818896,0.04567467,1.00000000,0.07014548,0.07509183,0.04326037,0.05721143,0.07202965,0.04163785,0.27910816
3.296000,0.06568004,0.59745186,1001.94861857,1883.84941066,20.36786556,40.10094587,0.16979178,0.86749117,0.08333333,-320.23221273,175.87956577,7.37593486,11.59792056,36.22624822,13.43221316,4.05787333,4.60617293,4.83709704,6.65107487,1.08852806,-4.84047318,0.06779841,-0.25262796,-0.66268757,-0.18695874,0.72840737,0.24151123,-0.51527205,-0.06880878,0.71283259,-0.07271068,-0.83700630,0.16912142,0.12365354,-0.95042493,0.03921061,0.03246245,0.03777593,0.04397291,1.00000000,0.07101405,0.07590535,0.04204680,0.05785015,0.07457832,0.04199815,0.29697017
3.306667,0.06479338,0.57239020,981.68145222,1863.99053658,19.87987167,40.37046146,0.18067419,0.88633687,0.08333333,-317.79347321,177.95579330,7.87398156,12.92298884,35.99646503,10.17150023,2.63064652,5.61845648,6.44860678,7.83780193,2.60156839,-1.08980279,0.56018839,0.50928345,-0.32941693,-0.73768462,0.49424867,0.68166298,-0.18300192,-0.18614779,0.84313333,0.30686611,-0.92278540,-0.14068727,-0.03714386,-1.21482474,0.04334499,0.03661453,0.03861086,0.04063637,1.00000000,0.07078689,0.07643460,0.04477940,0.06267578,0.07279404,0.04573758,0.32236556
3.317333,0.06562300,0.90352324,1030.68066454,1916.20222783,19.41216332,39.89413188,0.17204260,0.90518257,0.08333333,-321.88964204,171.95723307,3.75827870,11.56118482,37.39369368,13.21849265,2.72484161,3.72331745,3.12047867,4.19521455,3.95023323,1.74704686,2.75831110,1.21218412,0.06214907,-0.97705090,0.35090280,0.67929999,-0.02051686,-0.01681312,0.83504247,0.41236738,-0.87498417,-0.34653792,-0.30959662,-1.71045261,0.04756001,0.03002674,0.03835932,0.03705218,1.00000000,0.07378644,0.07334984,0.04609916,0.07065933,0.06601412,0.05110096,0.35489947
3.328000,0.06491404,0.71205311,1011.63740446,1875.53141707,21.33728583,40.03801848,0.16766784,0.92402827,0.08333333,-321.96335268,173.45608962,6.71053723,16.65499154,44.41907246,13.55452755,-1.94235575,3.95185874,2.81028807,1.47117850,5.42888655,0.30040122,-2.67672793,1.48225872,0.38020207,-0.63881757,0.36099482,0.34134015,0.12827710,0.04274886,0.31243834,0.27626155,-0.83356163,-0.59448589,-0.14163078,-1.10427523,0.05048520,0.02643051,0.03907716,0.04032979,1.00000000,0.07337494,0.06128936,0.04464881,0.07142847,0.05901161,0.05522587,0.39161719
3.338667,0.06524234,0.69156467,1059.99832536,1898.15535250,18.93068860,39.93066592,0.15960269,0.94287397,0.08333333,-316.52901936,174.78524420,2.23296313,14.43883670,45.27945020,15.49024178,-4.50544415,0.32129176,6.60394696,4.38940755,1.67191811,-2.44305999,-5.89057872,1.50460193,0.71117299,-0.14527065,0.25239723,-0.13978653,0.06962995,-0.00846682,-0.17328731,0.26331443,-0.25545889,-0.31265478,0.16714013,-0.28404470,0.05326583,0.03509990,0.04012823,0.03594097,1.00000000,0.07677741,0.05043706,0.04571752,0.07502472,0.05828847,0.05550217,0.43320379
3.349333,0.06497119,0.87178433,1077.01820095,1905.57957224,20.93258672,40.03534125,0.15698797,0.96171967,0.08333333,-314.90701023,172.15241460,-0.87989188,14.51949258,43.13828556,18.44738404,2.99961672,4.28446986,8.01610932,1.90797668,-3.56258304,-5.27638647,-6.03539780,1.62499799,0.99740860,0.12881143,0.14486012,-0.61383938,-0.27229556,0.10924960,-0.14506716,0.12076155,0.06895604,-0.13840379,-0.08560732,0.06575351,0.05529900,0.03555674,0.03921769,0.04481853,1.00000000,0.07887780,0.03980360,0.04406955,0.07921025,0.06227028,0.05516032,0.46008142
3.360000,0.06478832,1.11937654,1035.72171427,1848.87768025,20.12813397,40.18898279,0.15836889,0.98056537,0.08333333,-312.07154109,176.64128269,2.00510756,15.95435362,42.35823621,15.19606858,4.53664981,5.74413674,4.60132779,1.93844040,-1.30841032,-4.89505640,-6.75311094,1.69386722,1.28721637,0.54588708,0.24439026,-1.04166141,-0.59555788,0.34248863,-0.23761540,-0.04745450,0.56733985,0.02714365,-0.18719942,0.44290970,0.05563661,0.03307535,0.03778466,0.05151981,1.00000000,0.07555859,0.04876192,0.04302098,0.08256800,0.06586096,0.05781121,0.47826116
3.370667,0.06318577,0.92250324,1049.11680197,1857.64355632,19.96277946,39.76418313,0.15398787,0.99941107,0.08333333,-310.24409130,181.24339522,6.88403253,13.70088855,35.59265362,12.30664891,2.57785813,2.82085011,5.28673318,3.57992244,-0.68785608,-1.01032702,-0.71873871,1.17733157,0.97422975,0.67308618,0.22174514,-1.13090958,-0.44197587,0.44614358,-0.53011946,-0.15683470,1.04342699,0.31213034,-0.06103419,0.83106845,0.05579020,0.03190496,0.03657059,0.06054834,1.00000000,0.07552720,0.06426373,0.04569462,0.08062343,0.07063688,0.05983749,0.47124916
3.381333,0.06197511,0.86875321,1023.82588892,1852.21325269,21.14837639,40.15311150,0.15363101,0.01730877,0.08333333,-309.99835627,182.06535306,8.71352976,13.13774453,32.27023422,10.66329884,1.82906516,3.01150558,7.61633882,7.03178867,3.74296386,2.32227056,2.36170167,0.34724139,0.57678080,0.97240692,0.70741887,-0.40587864,-0.46831323,-0.10091466,-0.71980849,-0.36534832,1.00712461,0.63841834,0.08188247,0.79013718,0.05719351,0.03151620,0.03550986,0.06775776,1.00000000,0.07526100,0.08431122,0.04609590,0.08564373,0.06784783,0.05733023,0.45233613
3.392000,0.06250361,0.85979303,1052.70380425,1848.39144975,22.79621723,40.14883296,0.14683117,0.03517588,0.08333333,-309.31096788,180.97816982,6.05993098,15.01164319,35.77498185,8.70094480,0.42059241,3.18610102,4.15056719,6.30308172,4.48441701,-1.53696715,1.08058654,-0.10511562,0.22552652,0.81556551,0.93897794,0.43476838,-0.25987224,-0.65957518,-1.00800296,-0.42117339,1.00477573,0.73942655,0.07331017,0.47265302,0.05750329,0.03331952,0.03485426,0.07369020,1.00000000,0.07279199,0.10638198,0.04589540,0.08922827,0.06845269,0.05590360,0.44155819
3.402667,0.06177779,0.80195012,1041.71536660,1854.89633165,20.85018484,39.57366569,0.14642359,0.05304299,0.08333333,-310.40198362,179.71111885,7.25327514,17.31474707,36.64285643,11.87396679,3.02814494,-0.24579727,1.57959995,7.34220791,3.31153547,-3.13209824,1.12866582,-0.24634642,-0.17882550,0.27406698,0.74455812,0.86416141,0.46971937,-0.37210814,-1.15809426,-0.61297614,0.63563146,0.29211995,-0.15006823,0.41935999,0.05401979,0.03149408,0.03372266,0.07692737,1.00000000,0.07350866,0.11781352,0.04615385,0.08937906,0.06726747,0.05250017,0.47144956
3.413333,0.06224818,0.78567820,1010.19813015,1843.30445137,22.53453226,40.33638594,0.14716173,0.07091011,0.08333333,-312.21497333,178.60623467,7.89457889,18.28231282,40.13652642,15.64350786,1.06601449,-2.34227424,5.40504615,11.43709355,3.59478503,-3.77237434,-1.31182991,-0.60791839,-0.48601394,0.16331044,0.77773789,1.18249227,0.88395396,-0.11560357,-1.27365588,-1.03070470,0.22144857,0.06293140,-0.18725267,0.18366264,0.04916491,0.03573890,0.03468980,0.06109540,1.00000000,0.07488031,0.11795322,0.04551031,0.09657460,0.06810047,0.05016566,0.51095068
3.424000,0.06374664,0.73790546,1026.56834876,1862.05574372,22.22576517,39.80558833,0.14030002,0.08877722,0.08333333,-314.40748571,177.12797939,7.82015550,21.22011921,44.25469776,13.13092741,-3.27539349,-2.60212325,4.87692502,8.96676544,2.27712603,-3.09265110,-1.97191659,-0.81651336,-0.48089828,0.43968045,0.89682521,1.08182223,0.71674652,-0.00652691,-0.98600372,-1.23956500,-0.26463863,0.24602324,0.37312446,0.19089841,0.04335323,0.03273044,0.03125585,0.05792070,1.00000000,0.07350183,0.11867989,0.04391932,0.10300116,0.06238632,0.05173335,0.54901565
3.434667,0.06078378,0.71417297,1023.74515597,1861.60425482,21.64573309,40.18910389,0.14035085,0.10664433,0.00000000,-313.64543828,177.07742864,6.85209525,21.31987478,44.87237310,14.12705979,-0.57882662,-1.17999168,2.94183879,7.70217847,2.80619950,-2.78392206,-1.92669367,-0.83547230,-0.30289805,0.57073258,0.39043863,0.12703407,0.10782868,0.27849555,-0.27620812,-1.04008520,-0.48281572,0.51709579,0.94012056,0.31151464,0.04231470,0.03429705,0.03274539,0.06081133,1.00000000,0.07116173,0.12030689,0.04250561,0.11030423,0.06004849,0.05207701,0.56300646
3.445333,0.06053816,0.57931784,1034.64425407,1847.55746231,21.02029976,39.70912777,0.13144974,0.12451145,0.00000000,-310.28516104,180.14504581,6.12809032,16.54963100,41.27824986,17.90709595,3.71341513,-4.43773755,-1.77855630,6.13022892,1.40817413,-2.54957092,3.20816841,-0.42444205,0.09244325,0.50062661,-0.02757050,-0.43200733,-0.36375018,0.46857495,0.30978228,-1.07957027,-0.76127583,0.89780070,1.27643315,0.25160169,0.04282552,0.04221515,0.04051781,0.05849897,1.00000000,0.07344560,0.12414624,0.04396209,0.11606531,0.05669415,0.05236099,0.56593023
3.456000,0.05858425,0.60220978,1034.68672727,1897.97451616,20.75967249,40.05962210,0.13092101,0.14237856,0.00000000,-315.97915290,177.98957198,10.73496649,18.67758316,40.12236996,17.10581284,1.50613630,-7.92492797,-3.34763305,6.47213312,3.10491837,0.44837974,3.68013650,-0.30977183,0.10378106,0.32627315,-0.38288186,-0.85466583,-0.43867587,0.62989611,0.43982691,-1.06106995,-0.82233056,1.16152437,1.52405803,0.23592073,0.04457462,0.03704885,0.04081724,0.04898979,1.00000000,0.07510282,0.12146352,0.04222642,0.11939902,0.05148957,0.05234718,0.56537922
3.466667,0.05532411,0.86572513,992.56161021,1861.96891839,22.56914275,40.21533978,0.13238120,0.16024567,0.00000000,-316.94571302,177.25856520,12.62567319,23.46383521,41.73536823,12.47339299,0.98557885,-1.63987894,-3.05860607,4.47513900,9.61676347,5.89175061,2.38948000,-0.38399119,0.08865436,0.16102632,-0.85051541,-0.91307611,-0.04767405,0.79205267,0.80448855,-0.32009605,-0.49831825,1.05064372,1.18667340,-0.24633873,0.04617778,0.03256083,0.04207783,0.05471878,1.00000000,0.07411403,0.11941420,0.04392829,0.12441310,0.05175057,0.05286744,0.57022204
